PlayerID,FG%,RPG,APG,PPG
1,44.4,10.8,5.7,33.0
2,44.4,3.3,7.5,32.4
3,42.0,3.3,5.0,31.3
4,49.6,7.2,6.4,30.2
5,47.8,5.2,6.8,29.8
6,47.6,5.4,4.7,29.6
7,44.6,9.5,8.1,28.9
8,54.5,13.4,8.7,28.7
9,63.4,15.6,4.0,27.8
10,56.6,6.8,8.8,27.8
11,48.1,7.0,6.5,27.6
12,49.2,3.3,6.0,27.5
13,45.6,8.6,4.0,27.0
14,55.2,6.5,3.3,26.8
15,42.7,9.7,6.3,25.0
16,48.2,9.2,4.7,24.7
17,51.6,5.9,3.3,23.9
18,49.5,9.4,3.8,22.6
19,46.7,3.7,5.1,22.1
20,54.1,7.5,3.8,21.6
21,44.9,4.5,8.0,21.2
22,40.2,4.3,5.6,20.6
23,41.1,6.8,4.8,19.5
24,46.6,9.0,2.6,19.1
25,40.8,6.9,4.4,18.9
26,48.8,4.8,8.2,18.7
27,46.9,6.8,5.4,18.7
28,41.9,4.0,2.6,17.8
29,41.9,4.8,4.8,17.8
30,58.7,4.3,1.8,17.7
31,67.6,13.8,1.3,17.0
32,51.7,6.6,2.1,17.0
33,38.5,3.6,5.4,16.8
34,47.6,3.8,3.6,16.8
35,45.2,4.3,4.1,16.7
36,44.1,2.8,4.5,16.5
37,48.4,11.3,1.0,16.5
38,60.0,9.3,1.0,16.2
39,55.5,9.3,2.3,16.0
40,46.6,6.8,1.1,15.8
41,42.7,3.6,5.8,15.7
42,49.6,7.2,2.1,15.6
43,50.5,6.0,1.1,15.1
44,56.0,3.3,5.5,14.9
45,50.0,3.3,1.0,14.8
46,40.2,5.1,3.3,14.7
47,44.0,11.5,4.5,14.5
48,52.4,11.0,1.3,14.5
49,58.5,7.3,4.4,14.3
50,34.5,4.5,3.3,14.3
51,38.4,2.8,4.2,14.2
52,50.3,6.1,4.4,13.2
53,48.4,4.0,1.7,13.2
54,39.0,5.0,2.5,13.0
55,42.7,6.6,1.4,13.0
56,40.4,3.3,3.0,12.8
57,42.6,2.8,0.3,12.8
58,46.7,4.4,1.1,12.3
59,51.4,3.8,1.1,12.2
60,61.5,9.8,1.6,12.1
61,45.8,8.0,2.0,12.0
62,48.6,3.1,5.1,11.8
63,42.8,3.9,5.7,11.6
64,46.7,3.6,1.4,11.6
65,37.5,6.5,2.3,11.5
66,45.8,3.7,1.0,11.1
67,43.5,2.2,1.9,11.0
68,54.1,4.4,1.7,10.9
69,36.3,4.6,2.0,10.7
70,43.3,4.9,2.2,10.5
71,43.1,3.6,2.3,10.1
72,40.8,5.3,2.9,9.5
73,44.4,6.6,2.2,9.4
74,41.3,5.0,1.8,9.3
75,47.8,7.0,2.1,9.2
76,48.1,3.5,1.2,9.1
77,63.4,5.5,0.7,9.0
78,43.1,7.2,1.5,9.0
79,42.9,2.8,1.3,9.0
80,51.2,2.5,0.7,8.8
81,45.3,3.6,2.1,8.7
82,59.2,7.8,3.5,8.5
83,41.0,3.3,5.5,8.2
84,39.5,2.9,2.6,8.1
85,32.1,1.8,1.3,8.0
86,60.0,3.0,1.8,8.0
87,67.4,7.4,1.3,7.9
88,39.5,3.8,0.8,7.8
89,50.0,8.3,2.8,7.8
90,40.4,6.3,1.3,7.6
91,41.4,2.4,0.6,7.4
92,36.6,1.8,2.3,7.3
93,34.4,3.5,4.0,7.0
94,58.8,2.0,1.1,6.4
95,44.4,2.2,1.0,6.4
96,41.9,1.9,2.1,6.4
97,41.4,5.8,1.3,6.3
98,41.0,4.9,0.4,6.3
99,58.8,8.3,1.8,6.3
100,44.4,4.4,0.3,6.3
101,26.0,4.2,1.7,6.3
102,48.9,3.2,1.0,6.2
103,45.8,2.8,0.3,6.1
104,29.2,3.0,1.0,6.0
105,71.4,2.5,0.5,6.0
106,35.3,0.3,1.0,6.0
107,58.3,1.3,0.0,5.7
108,40.0,1.2,1.4,5.6
109,41.2,1.3,0.5,5.5
110,35.7,1.8,1.1,5.5
111,66.7,1.5,0.0,5.5
112,42.9,2.2,0.6,5.4
113,48.8,4.2,0.6,5.2
114,43.7,3.0,1.0,5.2
115,31.7,2.1,1.3,5.1
116,42.6,2.7,0.8,5.1
117,42.4,2.5,1.0,5.0
118,31.8,4.8,1.0,5.0
119,35.7,2.8,1.6,4.8
120,44.0,3.8,2.2,4.5
121,37.9,1.8,0.4,4.4
122,48.5,3.2,1.5,4.4
123,45.6,2.7,2.5,4.3
124,42.6,0.8,0.9,4.2
125,28.6,2.0,0.7,4.2
126,39.0,1.3,1.0,4.2
127,83.3,0.9,0.1,4.1
128,53.5,3.2,0.5,3.8
129,50.0,3.0,0.7,3.7
130,42.9,0.7,1.3,3.7
131,41.0,1.9,1.0,3.7
132,30.8,2.0,1.7,3.7
133,20.0,4.0,1.0,3.5
134,33.3,1.3,1.0,3.5
135,55.6,1.0,0.5,3.5
136,34.5,1.2,0.9,3.3
137,38.9,3.3,0.7,3.2
138,42.9,1.0,1.0,3.0
139,35.7,1.4,1.6,3.0
140,66.7,3.2,0.5,3.0
141,20.0,4.0,0.0,3.0
142,66.7,0.0,0.5,3.0
143,100.0,1.0,0.0,3.0
144,31.4,1.7,0.3,2.9
145,31.8,1.7,0.3,2.8
146,37.5,1.5,0.3,2.8
147,22.0,1.2,0.4,2.8
148,50.0,6.8,0.5,2.8
149,31.3,1.0,1.2,2.6
150,66.7,0.5,0.5,2.5
